p_id,stimulus,count,difficulty,liking,GMS.general,gender,age,part
06ea4d30ab765e6e942408059e8a61368ea274e69637757b86bd6cdc826625a1,part2_02.wav,9,4,2,4.94444444444444,male,27.5,PART2
db6f54c592547b8f5bfd596eb6a8890fa35b0ac78ef9205037c6743c2fc72661,part2_02.wav,16,5,6,2.77777777777778,female,61.1666666666667,PART2
40178c76b1475fd5fd796c86b0b46a103dced390b22c65d6a5708ef971f77991,part2_02.wav,7,2,4,3.38888888888889,female,69.6666666666667,PART2
19ae5d5a6f2e1382d0e5e1bee58e4c14b6e6279ea3d780f0a18308fd4fd8b923,part2_02.wav,7,2,5,3.55555555555556,male,40.9166666666667,PART2
8dee97d99ad017985b6fcb09e2dbf9a0bf70a1ddc45442dcc4e45edbb1d2c583,part2_02.wav,11,6,6,2.16666666666667,male,73.0833333333333,PART2
09d2ab7c705190d11b779432651a62eb9430fc6731b0f69d43b114c34105f8ff,part2_02.wav,2,2,5,3.05555555555556,male,73.1666666666667,PART2
17221f26f25553676910c8b1ead9e58040b81613f2f7925acebcb6c41bddd1cf,part2_02.wav,0,5,5,4.5,female,72,PART2
d3c2ecba6f448775e84bea7243c23f381c94c73a4698a2080583252aeea221a4,part2_02.wav,25,4,5,4.44444444444444,female,71.0833333333333,PART2
2a28cd69561c367bade130e470d47042fc45a9e66ac46c6b132c95a32b9548d3,part2_02.wav,10,3,4,6.44444444444444,male,23.1666666666667,PART2
791579f3902cb8625ec28373601582da264a6f2cabe3c2ae3ab10adfe01690c3,part2_02.wav,24,3,5,6.5,male,57.4166666666667,PART2
35d81cc11ceb2d8d7055f55b0bb63091a3b2222b69bfa167c386e43120bb2746,part2_02.wav,8,4,3,2.88888888888889,female,79.75,PART2
2b457bfed98bf4dbdd54c29b1448816d076ef52e0382bd2f2d6e72592fd69377,part2_02.wav,0,2,4,4.61111111111111,male,61.4166666666667,PART2
4a1e17ee031fc9e2355ad530dfe14ca53fc0f7bca01f844210f2d8a957b46966,part2_02.wav,12,4,5,2.5,female,59.5833333333333,PART2
cd73b90063d2084c7466ce6562e98d41b10029e8605f78ce964fea9fff65e6ea,part2_02.wav,3,4,3,4.38888888888889,female,67.8333333333333,PART2
6be7dc7a37002f0f56eee936e8e41459a72d5318f3611e7da9fde339759d68bf,part2_02.wav,11,3,4,4.83333333333333,female,50.3333333333333,PART2
4d842adc1d1722e9ca51eef92f2aa36a129f81d8367f372f988d9ce9518706de,part2_02.wav,5,3,5,4.61111111111111,male,33.9166666666667,PART2
1b3138eb96d1d083feb1a07db5bee28b1f0efec5926ebabfd38c201756aab77c,part2_02.wav,20,3,6,4.77777777777778,male,74.1666666666667,PART2
57564349262512a91ad41da24aa22a85fb1d9e34bc0a544467b4de56ddbc3b9e,part2_02.wav,16,3,5,5.11111111111111,female,50,PART2
616e1f8e549780b01d536114b13eea367ac3ce685c26cfe7c5e7b3915cdf72a7,part2_02.wav,40,4,5,3.16666666666667,female,63.6666666666667,PART2
0366d00653bc18f8043b1d8d6cb5e13cb166ac0b31766dfb538cacf6e83dbc38,part2_02.wav,16,2,5,4.94444444444444,male,26.5833333333333,PART2
