Filename;Participant;Trial;Stimulus;FrameNo;Time_in_s;Event;Boundary;QCode;Rating;QText
P01-SegmentExp2.log;P01;2;part2_01.avi;1897;18,97;BOUNDARY_QUESTIONNAIRE;1;BNDQ1;6;• Wie wichtig finden Sie diesen Abschnitt?
P01-SegmentExp2.log;P01;2;part2_01.avi;1897;18,97;BOUNDARY_QUESTIONNAIRE;1;BNDQ2;5;• Wie stark ist Ihr Gefühl, dass hier etwas endet?
P01-SegmentExp2.log;P01;2;part2_01.avi;1897;18,97;BOUNDARY_QUESTIONNAIRE;1;BNDQ3;5;• Wie stark ist Ihr Gefühl, dass hier etwas neues kommt?
P01-SegmentExp2.log;P01;2;part2_01.avi;3873;38,73;BOUNDARY_QUESTIONNAIRE;2;BNDQ1;3;• Wie wichtig finden Sie diesen Abschnitt?
P01-SegmentExp2.log;P01;2;part2_01.avi;3873;38,73;BOUNDARY_QUESTIONNAIRE;2;BNDQ2;5;• Wie stark ist Ihr Gefühl, dass hier etwas endet?
P01-SegmentExp2.log;P01;2;part2_01.avi;3873;38,73;BOUNDARY_QUESTIONNAIRE;2;BNDQ3;6;• Wie stark ist Ihr Gefühl, dass hier etwas neues kommt?
P01-SegmentExp2.log;P01;2;part2_01.avi;6921;69,21;BOUNDARY_QUESTIONNAIRE;3;BNDQ1;5;• Wie wichtig finden Sie diesen Abschnitt?
P01-SegmentExp2.log;P01;2;part2_01.avi;6921;69,21;BOUNDARY_QUESTIONNAIRE;3;BNDQ2;4;• Wie stark ist Ihr Gefühl, dass hier etwas endet?
P01-SegmentExp2.log;P01;2;part2_01.avi;6921;69,21;BOUNDARY_QUESTIONNAIRE;3;BNDQ3;5;• Wie stark ist Ihr Gefühl, dass hier etwas neues kommt?
P01-SegmentExp2.log;P01;2;part2_01.avi;9877;98,77;BOUNDARY_QUESTIONNAIRE;4;BNDQ1;4;• Wie wichtig finden Sie diesen Abschnitt?
P01-SegmentExp2.log;P01;2;part2_01.avi;9877;98,77;BOUNDARY_QUESTIONNAIRE;4;BNDQ2;4;• Wie stark ist Ihr Gefühl, dass hier etwas endet?
P01-SegmentExp2.log;P01;2;part2_01.avi;9877;98,77;BOUNDARY_QUESTIONNAIRE;4;BNDQ3;4;• Wie stark ist Ihr Gefühl, dass hier etwas neues kommt?
