p_id,piece,marker,count,difficulty,liking,GMS.general,gender,age,language,d,m
OP74,2,426.31,25,4,5,4.44444444444444,female,71.0833333333333,de,16.3664166666667,426.412
OP74,2,426.337,25,4,5,4.44444444444444,female,71.0833333333333,de,16.3664166666667,426.412
OP74,2,426.359,25,4,5,4.44444444444444,female,71.0833333333333,de,16.3664166666667,426.412
OP74,2,426.385,25,4,5,4.44444444444444,female,71.0833333333333,de,16.3664166666667,426.412
OP74,2,426.412,25,4,5,4.44444444444444,female,71.0833333333333,de,16.3664166666667,426.412
OP18,2,27.585,10,3,4,6.44444444444444,male,23.1666666666667,de,40.0697777777778,388.213
OP18,2,86.831,10,3,4,6.44444444444444,male,23.1666666666667,de,40.0697777777778,388.213
OP18,2,93.43,10,3,4,6.44444444444444,male,23.1666666666667,de,40.0697777777778,388.213
OP18,2,161.896,10,3,4,6.44444444444444,male,23.1666666666667,de,40.0697777777778,388.213
OP18,2,204.576,10,3,4,6.44444444444444,male,23.1666666666667,de,40.0697777777778,388.213
OP18,2,232.057,10,3,4,6.44444444444444,male,23.1666666666667,de,40.0697777777778,388.213
OP18,2,267.577,10,3,4,6.44444444444444,male,23.1666666666667,de,40.0697777777778,388.213
OP18,2,294.171,10,3,4,6.44444444444444,male,23.1666666666667,de,40.0697777777778,388.213
OP18,2,315.218,10,3,4,6.44444444444444,male,23.1666666666667,de,40.0697777777778,388.213
OP18,2,388.213,10,3,4,6.44444444444444,male,23.1666666666667,de,40.0697777777778,388.213
OP46,2,26.965,24,3,5,6.5,male,57.4166666666667,de,0.332608695652174,34.615
OP46,2,10.988,24,3,5,6.5,male,57.4166666666667,de,0.332608695652174,34.615
OP46,2,29.559,24,3,5,6.5,male,57.4166666666667,de,0.332608695652174,34.615
OP46,2,19.191,24,3,5,6.5,male,57.4166666666667,de,0.332608695652174,34.615
OP46,2,6.976,24,3,5,6.5,male,57.4166666666667,de,0.332608695652174,34.615
OP46,2,17.296,24,3,5,6.5,male,57.4166666666667,de,0.332608695652174,34.615
OP46,2,7.288,24,3,5,6.5,male,57.4166666666667,de,0.332608695652174,34.615
OP46,2,13.304,24,3,5,6.5,male,57.4166666666667,de,0.332608695652174,34.615
OP46,2,27.575,24,3,5,6.5,male,57.4166666666667,de,0.332608695652174,34.615
OP46,2,10.399,24,3,5,6.5,male,57.4166666666667,de,0.332608695652174,34.615
OP46,2,5.207,24,3,5,6.5,male,57.4166666666667,de,0.332608695652174,34.615
OP46,2,8.175,24,3,5,6.5,male,57.4166666666667,de,0.332608695652174,34.615
OP46,2,17.785,24,3,5,6.5,male,57.4166666666667,de,0.332608695652174,34.615
OP46,2,33.303,24,3,5,6.5,male,57.4166666666667,de,0.332608695652174,34.615
OP46,2,20.856,24,3,5,6.5,male,57.4166666666667,de,0.332608695652174,34.615
OP46,2,12.199,24,3,5,6.5,male,57.4166666666667,de,0.332608695652174,34.615
OP46,2,16.84,24,3,5,6.5,male,57.4166666666667,de,0.332608695652174,34.615
OP46,2,8.254,24,3,5,6.5,male,57.4166666666667,de,0.332608695652174,34.615
OP46,2,21.656,24,3,5,6.5,male,57.4166666666667,de,0.332608695652174,34.615
OP46,2,11.56,24,3,5,6.5,male,57.4166666666667,de,0.332608695652174,34.615
OP46,2,27.952,24,3,5,6.5,male,57.4166666666667,de,0.332608695652174,34.615
OP46,2,6.919,24,3,5,6.5,male,57.4166666666667,de,0.332608695652174,34.615
OP46,2,27.84,24,3,5,6.5,male,57.4166666666667,de,0.332608695652174,34.615
OP46,2,34.615,24,3,5,6.5,male,57.4166666666667,de,0.332608695652174,34.615
OP23,2,27.24,8,4,3,2.88888888888889,female,79.75,de,11.8385714285714,110.11
OP23,2,11.678,8,4,3,2.88888888888889,female,79.75,de,11.8385714285714,110.11
OP23,2,47.395,8,4,3,2.88888888888889,female,79.75,de,11.8385714285714,110.11
OP23,2,47.368,8,4,3,2.88888888888889,female,79.75,de,11.8385714285714,110.11
OP23,2,63.318,8,4,3,2.88888888888889,female,79.75,de,11.8385714285714,110.11
OP23,2,94.671,8,4,3,2.88888888888889,female,79.75,de,11.8385714285714,110.11
OP23,2,21.915,8,4,3,2.88888888888889,female,79.75,de,11.8385714285714,110.11
OP23,2,110.11,8,4,3,2.88888888888889,female,79.75,de,11.8385714285714,110.11
OP20,2,NA,0,2,4,4.61111111111111,male,61.4166666666667,de,NA,NA
OP29,2,8.265,12,4,5,2.5,female,59.5833333333333,de,34.6174545454545,389.057
OP29,2,11.803,12,4,5,2.5,female,59.5833333333333,de,34.6174545454545,389.057
OP29,2,26.484,12,4,5,2.5,female,59.5833333333333,de,34.6174545454545,389.057
OP29,2,37.156,12,4,5,2.5,female,59.5833333333333,de,34.6174545454545,389.057
OP29,2,87.532,12,4,5,2.5,female,59.5833333333333,de,34.6174545454545,389.057
OP29,2,117.828,12,4,5,2.5,female,59.5833333333333,de,34.6174545454545,389.057
OP29,2,202.915,12,4,5,2.5,female,59.5833333333333,de,34.6174545454545,389.057
OP29,2,267.868,12,4,5,2.5,female,59.5833333333333,de,34.6174545454545,389.057
OP29,2,291.795,12,4,5,2.5,female,59.5833333333333,de,34.6174545454545,389.057
OP29,2,313.707,12,4,5,2.5,female,59.5833333333333,de,34.6174545454545,389.057
OP29,2,353.641,12,4,5,2.5,female,59.5833333333333,de,34.6174545454545,389.057
OP29,2,389.057,12,4,5,2.5,female,59.5833333333333,de,34.6174545454545,389.057
OP73,2,41.165,3,4,3,4.38888888888889,female,67.8333333333333,de,38.0415,117.248
OP73,2,52.458,3,4,3,4.38888888888889,female,67.8333333333333,de,38.0415,117.248
OP73,2,117.248,3,4,3,4.38888888888889,female,67.8333333333333,de,38.0415,117.248
OP42,2,26.406,11,3,4,4.83333333333333,female,50.3333333333333,de,57.6885,603.291
OP42,2,38.623,11,3,4,4.83333333333333,female,50.3333333333333,de,57.6885,603.291
OP42,2,86.352,11,3,4,4.83333333333333,female,50.3333333333333,de,57.6885,603.291
OP42,2,118.881,11,3,4,4.83333333333333,female,50.3333333333333,de,57.6885,603.291
OP42,2,157.114,11,3,4,4.83333333333333,female,50.3333333333333,de,57.6885,603.291
OP42,2,268.306,11,3,4,4.83333333333333,female,50.3333333333333,de,57.6885,603.291
OP42,2,325.008,11,3,4,4.83333333333333,female,50.3333333333333,de,57.6885,603.291
OP42,2,362.072,11,3,4,4.83333333333333,female,50.3333333333333,de,57.6885,603.291
OP42,2,436.377,11,3,4,4.83333333333333,female,50.3333333333333,de,57.6885,603.291
OP42,2,477.512,11,3,4,4.83333333333333,female,50.3333333333333,de,57.6885,603.291
OP42,2,603.291,11,3,4,4.83333333333333,female,50.3333333333333,de,57.6885,603.291
OP30,2,1.726,5,3,5,4.61111111111111,male,33.9166666666667,de,78.6035,316.14
OP30,2,87.976,5,3,5,4.61111111111111,male,33.9166666666667,de,78.6035,316.14
OP30,2,202.35,5,3,5,4.61111111111111,male,33.9166666666667,de,78.6035,316.14
OP30,2,266.971,5,3,5,4.61111111111111,male,33.9166666666667,de,78.6035,316.14
OP30,2,316.14,5,3,5,4.61111111111111,male,33.9166666666667,de,78.6035,316.14
OP12,2,26.633,20,3,6,4.77777777777778,male,74.1666666666667,de,20.7827894736842,421.506
OP12,2,40.146,20,3,6,4.77777777777778,male,74.1666666666667,de,20.7827894736842,421.506
OP12,2,47.745,20,3,6,4.77777777777778,male,74.1666666666667,de,20.7827894736842,421.506
OP12,2,86.05,20,3,6,4.77777777777778,male,74.1666666666667,de,20.7827894736842,421.506
OP12,2,95.602,20,3,6,4.77777777777778,male,74.1666666666667,de,20.7827894736842,421.506
OP12,2,117.618,20,3,6,4.77777777777778,male,74.1666666666667,de,20.7827894736842,421.506
OP12,2,140.33,20,3,6,4.77777777777778,male,74.1666666666667,de,20.7827894736842,421.506
OP12,2,196.569,20,3,6,4.77777777777778,male,74.1666666666667,de,20.7827894736842,421.506
OP12,2,206.89,20,3,6,4.77777777777778,male,74.1666666666667,de,20.7827894736842,421.506
OP12,2,228.418,20,3,6,4.77777777777778,male,74.1666666666667,de,20.7827894736842,421.506
OP12,2,251.866,20,3,6,4.77777777777778,male,74.1666666666667,de,20.7827894736842,421.506
OP12,2,267.098,20,3,6,4.77777777777778,male,74.1666666666667,de,20.7827894736842,421.506
OP12,2,267.113,20,3,6,4.77777777777778,male,74.1666666666667,de,20.7827894736842,421.506
OP12,2,288.69,20,3,6,4.77777777777778,male,74.1666666666667,de,20.7827894736842,421.506
OP12,2,296.96,20,3,6,4.77777777777778,male,74.1666666666667,de,20.7827894736842,421.506
OP12,2,313.226,20,3,6,4.77777777777778,male,74.1666666666667,de,20.7827894736842,421.506
OP12,2,343.658,20,3,6,4.77777777777778,male,74.1666666666667,de,20.7827894736842,421.506
OP12,2,351.602,20,3,6,4.77777777777778,male,74.1666666666667,de,20.7827894736842,421.506
OP12,2,388.21,20,3,6,4.77777777777778,male,74.1666666666667,de,20.7827894736842,421.506
OP12,2,421.506,20,3,6,4.77777777777778,male,74.1666666666667,de,20.7827894736842,421.506
OP34,2,27.28,16,3,5,5.11111111111111,female,50,de,26.3422,422.413
OP34,2,38.159,16,3,5,5.11111111111111,female,50,de,26.3422,422.413
OP34,2,64.934,16,3,5,5.11111111111111,female,50,de,26.3422,422.413
