ID,Trial,Stimulus,FrameNo,Time_in_s,Event,Boundary
06ea4d30ab765e6e942408059e8a61368ea274e69637757b86bd6cdc826625a1,1,part2_02.wav,NA,2.588,BOUNDARY REGISTERED,1
06ea4d30ab765e6e942408059e8a61368ea274e69637757b86bd6cdc826625a1,1,part2_02.wav,NA,4.258,BOUNDARY REGISTERED,2
06ea4d30ab765e6e942408059e8a61368ea274e69637757b86bd6cdc826625a1,1,part2_02.wav,NA,22.42,BOUNDARY REGISTERED,3
06ea4d30ab765e6e942408059e8a61368ea274e69637757b86bd6cdc826625a1,1,part2_02.wav,NA,9.687,BOUNDARY REGISTERED,4
06ea4d30ab765e6e942408059e8a61368ea274e69637757b86bd6cdc826625a1,1,part2_02.wav,NA,28.588,BOUNDARY REGISTERED,5
06ea4d30ab765e6e942408059e8a61368ea274e69637757b86bd6cdc826625a1,1,part2_02.wav,NA,18.528,BOUNDARY REGISTERED,6
06ea4d30ab765e6e942408059e8a61368ea274e69637757b86bd6cdc826625a1,1,part2_02.wav,NA,44.884,BOUNDARY REGISTERED,7
06ea4d30ab765e6e942408059e8a61368ea274e69637757b86bd6cdc826625a1,1,part2_02.wav,NA,75.412,BOUNDARY REGISTERED,8
06ea4d30ab765e6e942408059e8a61368ea274e69637757b86bd6cdc826625a1,1,part2_02.wav,NA,110.482,BOUNDARY REGISTERED,9
db6f54c592547b8f5bfd596eb6a8890fa35b0ac78ef9205037c6743c2fc72661,1,part2_02.wav,NA,98.483,BOUNDARY REGISTERED,1
db6f54c592547b8f5bfd596eb6a8890fa35b0ac78ef9205037c6743c2fc72661,1,part2_02.wav,NA,114.84,BOUNDARY REGISTERED,2
db6f54c592547b8f5bfd596eb6a8890fa35b0ac78ef9205037c6743c2fc72661,1,part2_02.wav,NA,127.199,BOUNDARY REGISTERED,3
db6f54c592547b8f5bfd596eb6a8890fa35b0ac78ef9205037c6743c2fc72661,1,part2_02.wav,NA,132.37,BOUNDARY REGISTERED,4
db6f54c592547b8f5bfd596eb6a8890fa35b0ac78ef9205037c6743c2fc72661,1,part2_02.wav,NA,161.453,BOUNDARY REGISTERED,5
db6f54c592547b8f5bfd596eb6a8890fa35b0ac78ef9205037c6743c2fc72661,1,part2_02.wav,NA,186.516,BOUNDARY REGISTERED,6
db6f54c592547b8f5bfd596eb6a8890fa35b0ac78ef9205037c6743c2fc72661,1,part2_02.wav,NA,196.833,BOUNDARY REGISTERED,7
db6f54c592547b8f5bfd596eb6a8890fa35b0ac78ef9205037c6743c2fc72661,1,part2_02.wav,NA,206.009,BOUNDARY REGISTERED,8
db6f54c592547b8f5bfd596eb6a8890fa35b0ac78ef9205037c6743c2fc72661,1,part2_02.wav,NA,233.469,BOUNDARY REGISTERED,9
db6f54c592547b8f5bfd596eb6a8890fa35b0ac78ef9205037c6743c2fc72661,1,part2_02.wav,NA,238.198,BOUNDARY REGISTERED,10
db6f54c592547b8f5bfd596eb6a8890fa35b0ac78ef9205037c6743c2fc72661,1,part2_02.wav,NA,267.672,BOUNDARY REGISTERED,11
db6f54c592547b8f5bfd596eb6a8890fa35b0ac78ef9205037c6743c2fc72661,1,part2_02.wav,NA,297.333,BOUNDARY REGISTERED,12
db6f54c592547b8f5bfd596eb6a8890fa35b0ac78ef9205037c6743c2fc72661,1,part2_02.wav,NA,314.198,BOUNDARY REGISTERED,13
db6f54c592547b8f5bfd596eb6a8890fa35b0ac78ef9205037c6743c2fc72661,1,part2_02.wav,NA,384.459,BOUNDARY REGISTERED,14
db6f54c592547b8f5bfd596eb6a8890fa35b0ac78ef9205037c6743c2fc72661,1,part2_02.wav,NA,390.461,BOUNDARY REGISTERED,15
db6f54c592547b8f5bfd596eb6a8890fa35b0ac78ef9205037c6743c2fc72661,1,part2_02.wav,NA,422.859,BOUNDARY REGISTERED,16
40178c76b1475fd5fd796c86b0b46a103dced390b22c65d6a5708ef971f77991,1,part2_02.wav,NA,86.664,BOUNDARY REGISTERED,1
40178c76b1475fd5fd796c86b0b46a103dced390b22c65d6a5708ef971f77991,1,part2_02.wav,NA,138.207,BOUNDARY REGISTERED,2
40178c76b1475fd5fd796c86b0b46a103dced390b22c65d6a5708ef971f77991,1,part2_02.wav,NA,199.062,BOUNDARY REGISTERED,3
40178c76b1475fd5fd796c86b0b46a103dced390b22c65d6a5708ef971f77991,1,part2_02.wav,NA,267.621,BOUNDARY REGISTERED,4
40178c76b1475fd5fd796c86b0b46a103dced390b22c65d6a5708ef971f77991,1,part2_02.wav,NA,314.313,BOUNDARY REGISTERED,5
40178c76b1475fd5fd796c86b0b46a103dced390b22c65d6a5708ef971f77991,1,part2_02.wav,NA,353.804,BOUNDARY REGISTERED,6
40178c76b1475fd5fd796c86b0b46a103dced390b22c65d6a5708ef971f77991,1,part2_02.wav,NA,425.141,BOUNDARY REGISTERED,7
19ae5d5a6f2e1382d0e5e1bee58e4c14b6e6279ea3d780f0a18308fd4fd8b923,1,part2_02.wav,NA,27.294,BOUNDARY REGISTERED,1
19ae5d5a6f2e1382d0e5e1bee58e4c14b6e6279ea3d780f0a18308fd4fd8b923,1,part2_02.wav,NA,39.521,BOUNDARY REGISTERED,2
19ae5d5a6f2e1382d0e5e1bee58e4c14b6e6279ea3d780f0a18308fd4fd8b923,1,part2_02.wav,NA,88.352,BOUNDARY REGISTERED,3
19ae5d5a6f2e1382d0e5e1bee58e4c14b6e6279ea3d780f0a18308fd4fd8b923,1,part2_02.wav,NA,150.922,BOUNDARY REGISTERED,4
19ae5d5a6f2e1382d0e5e1bee58e4c14b6e6279ea3d780f0a18308fd4fd8b923,1,part2_02.wav,NA,206.83,BOUNDARY REGISTERED,5
19ae5d5a6f2e1382d0e5e1bee58e4c14b6e6279ea3d780f0a18308fd4fd8b923,1,part2_02.wav,NA,288.877,BOUNDARY REGISTERED,6
19ae5d5a6f2e1382d0e5e1bee58e4c14b6e6279ea3d780f0a18308fd4fd8b923,1,part2_02.wav,NA,314.76,BOUNDARY REGISTERED,7
8dee97d99ad017985b6fcb09e2dbf9a0bf70a1ddc45442dcc4e45edbb1d2c583,1,part2_02.wav,NA,27.695,BOUNDARY REGISTERED,1
8dee97d99ad017985b6fcb09e2dbf9a0bf70a1ddc45442dcc4e45edbb1d2c583,1,part2_02.wav,NA,67.95,BOUNDARY REGISTERED,2
