p_id,trial,time_in_s,boundary,piece
P23,1,121.45,14,1
P23,1,126.45,15,1
P23,1,142.53,16,1
P23,1,150.25,17,1
P23,1,162.73,18,1
P23,1,172.89,19,1
P23,1,185.97,20,1
P23,1,192.33,21,1
P23,1,200.41,22,1
P23,1,205.93,23,1
P23,1,222.05,24,1
P23,1,241.89,25,1
P23,1,245.97,26,1
P23,1,257.01,27,1
P23,1,267.33,28,1
P23,1,281.49,29,1
P23,1,284.45,30,1
P23,1,298.01,31,1
P23,1,315.93,32,1
P23,1,318.57,33,1
P23,1,323.33,34,1
P23,1,329.49,35,1
P23,2,6.17,1,1
P23,2,11.97,2,1
P23,2,26.97,3,1
P23,2,38.89,4,1
P23,2,58.85,5,1
P23,2,68.93,6,1
P23,2,97.33,7,1
P23,2,122.73,8,1
P23,2,128.13,9,1
P23,2,173.53,10,1
P23,2,185.97,11,1
P23,2,200.61,12,1
P23,2,219.85,13,1
P23,2,243.17,14,1
P23,2,247.45,15,1
P23,2,257.61,16,1
P23,2,275.13,17,1
P23,2,281.57,18,1
P23,2,298.41,19,1
P23,2,318.49,20,1
P23,2,323.09,21,1
P23,3,12.17,1,2
P23,3,26.81,2,2
P23,3,39.29,3,2
P23,3,64.45,4,2
P23,3,86.57,5,2
P23,3,94.33,6,2
P23,3,125.93,7,2
P23,3,130.93,8,2
P23,3,158.05,9,2
P23,3,186.21,10,2
P23,3,196.61,11,2
P23,3,235.53,12,2
P23,3,250.61,13,2
P23,3,267.05,14,2
P23,3,287.65,15,2
P23,3,297.25,16,2
P23,3,313.25,17,2
P23,3,333.89,18,2
P23,3,352.81,19,2
P23,3,382.81,20,2
P23,3,394.17,21,2
P23,3,425.65,22,2
P23,3,425.73,23,2
P23,4,11.61,1,2
P23,4,26.25,2,2
P23,4,32.45,3,2
P23,4,40.37,4,2
P23,4,64.53,5,2
P23,4,86.09,6,2
P23,4,114.53,7,2
P23,4,130.65,8,2
P23,4,138.65,9,2
P23,4,158.13,10,2
P23,4,186.21,11,2
P23,4,201.41,12,2
P23,4,232.09,13,2
P23,4,235.69,14,2
P23,4,252.21,15,2
P23,4,267.97,16,2
P23,4,284.53,17,2
P23,4,291.73,18,2
P23,4,313.05,19,2
P23,4,343.61,20,2
P23,4,353.21,21,2
P23,4,379.33,22,2
P23,4,389.17,23,2
P23,4,415.81,24,2
P24,1,2.73,1,1
P24,1,37.77,2,1
P24,1,43.57,3,1
P24,1,66.69,4,1
P24,1,69.05,5,1
P24,1,113.13,6,1
P24,1,126.45,7,1
P24,1,185.49,8,1
P24,1,209.65,9,1
P24,1,245.49,10,1
P24,1,318.53,11,1
P24,1,320.61,12,1
P24,1,329.49,13,1
P24,2,38.73,1,1
P24,2,69.01,2,1
P24,2,126.85,3,1
P24,2,320.01,4,1
P24,2,329.13,5,1
P24,3,117.69,1,2
P24,3,183.33,2,2
P24,3,198.49,3,2
P24,3,207.49,4,2
P24,3,267.37,5,2
P24,3,313.13,6,2
P24,3,354.53,7,2
P24,3,388.81,8,2
P24,3,422.45,9,2
P24,3,425.73,10,2
P24,4,26.65,1,2
P24,4,86.17,2,2
P24,4,172.45,3,2
P24,4,201.37,3,2
P24,4,313.09,4,2
P25,1,8.09,1,1
P25,1,12.65,2,1
P25,1,12.73,3,1
P25,1,69.29,4,1
P25,1,126.85,5,1
P25,1,157.13,6,1
P25,1,192.89,7,1
P25,1,320.61,8,1
P25,1,322.85,9,1
P25,1,329.49,10,1
P25,2,69.21,1,1
P25,2,126.73,2,1
P25,2,247.29,3,1
P25,2,320.65,4,1
P25,2,323.49,5,1
P25,3,37.45,1,2
P25,3,206.77,2,2
P25,3,313.61,3,2
P25,3,393.65,4,2
P25,3,425.73,5,2
P25,4,86.29,1,2
P25,4,117.49,1,2
P25,4,201.89,2,2
P25,4,313.33,3,2
P26,1,2.57,1,1
P26,1,6.49,2,1
P26,1,8.69,3,1
P26,1,12.81,4,1
P26,1,19.29,5,1
P26,1,21.33,6,1
P26,1,38.57,7,1
P26,1,43.37,8,1
P26,1,46.53,9,1
P26,1,50.41,10,1
P26,1,59.69,11,1
P26,1,66.49,12,1
P26,1,69.57,13,1
P26,1,106.61,14,1
P26,1,113.01,15,1
P26,1,121.65,16,1
P26,1,126.81,17,1
P26,1,157.33,18,1
P26,1,173.33,19,1
P26,1,185.09,20,1
P26,1,192.37,21,1
P26,1,200.81,22,1
P26,1,209.17,23,1
P26,1,219.53,24,1
P26,1,228.33,25,1
P26,1,240.49,26,1
P26,1,246.25,27,1
P26,1,263.09,28,1
P26,1,273.73,29,1
P26,1,281.37,30,1
P26,1,297.81,31,1
P26,1,312.29,32,1
P26,1,318.69,33,1
P26,1,323.45,34,1
P26,1,329.49,35,1
P26,2,19.21,1,1
P26,2,38.49,2,1
P26,2,59.73,3,1
P26,2,69.53,3,1
P26,2,106.97,4,1
P26,2,126.69,5,1
P26,2,185.25,6,1
P26,2,200.73,7,1
P26,2,227.97,8,1
P26,2,245.33,9,1
P26,2,273.93,10,1
P26,2,298.37,10,1
P26,2,318.45,10,1
P26,3,37.73,1,2
P26,3,86.01,2,2
P26,3,125.29,3,2
P26,3,157.81,4,2
P26,3,174.05,5,2
P26,3,185.81,6,2
P26,3,206.41,7,2
P26,3,235.49,8,2
P26,3,266.73,9,2
P26,3,291.61,10,2
P26,3,313.89,11,2
P26,3,343.93,12,2
P26,3,378.49,13,2
P26,3,389.53,14,2
P26,3,422.17,15,2
P26,3,425.73,16,2
P26,4,37.61,1,2
P26,4,67.85,2,2
P26,4,92.97,3,2
P26,4,130.81,4,2
P26,4,185.85,4,2
P26,4,200.73,4,2
P26,4,266.73,5,2
P26,4,291.77,6,2
P26,4,313.25,6,2
P26,4,353.01,7,2
P26,4,387.65,8,2
P27,1,28.09,1,1
P27,1,60.57,2,1
P27,1,70.01,3,1
P27,1,109.89,4,1
P27,1,126.81,5,1
P27,1,185.73,6,1
P27,1,246.89,7,1
P27,1,301.85,8,1
P27,1,324.01,9,1
P27,1,329.49,10,1
P27,2,37.37,1,1
P27,2,107.53,2,1
P27,2,185.21,3,1
P27,2,247.01,4,1
P27,2,318.53,5,1
P27,3,26.57,1,2
P27,3,82.49,2,2
P27,3,118.41,3,2
P27,3,154.25,4,2
P27,3,202.05,5,2
P27,3,239.53,6,2
P27,3,292.81,7,2
P27,3,354.25,8,2
P27,3,425.73,9,2
P27,4,26.45,1,2
P27,4,86.93,2,2
P27,4,158.17,3,2
P27,4,215.33,4,2
P27,4,313.73,5,2
P28,1,12.37,1,1
P28,1,37.45,2,1
P28,1,106.57,3,1
P28,1,194.09,4,1
P28,1,263.09,5,1
P28,1,309.29,6,1
P28,1,323.13,7,1
P28,1,329.49,8,1
P28,2,25.53,1,1
P28,2,38.53,2,1
P28,2,127.57,3,1
P28,2,320.69,4,1
P28,3,38.17,1,2
P28,3,205.29,2,2
P28,3,311.45,3,2
P28,3,388.89,4,2
P28,3,425.73,5,2
P28,4,37.01,1,2
P28,4,130.53,2,2
P28,4,195.41,2,2
P28,4,312.13,3,2
P28,4,388.93,4,2
P29,1,12.53,1,1
P29,1,33.65,2,1
P29,1,37.61,3,1
P29,1,58.49,4,1
P29,1,69.21,5,1
P29,1,126.77,6,1
P29,1,143.01,7,1
P29,1,156.65,8,1
P29,1,173.33,9,1
P29,1,185.41,10,1
P29,1,222.21,11,1
P29,1,243.41,12,1
P29,1,281.25,13,1
P29,1,297.77,14,1
P29,1,312.05,15,1
P29,1,318.53,16,1
P29,1,323.45,17,1
P29,1,329.21,18,1
P29,1,329.49,19,1
P29,2,12.33,1,1
P29,2,20.53,2,1
P29,2,69.77,2,1
P29,2,126.61,3,1
P29,2,157.09,4,1
P29,2,209.41,5,1
P29,2,300.57,6,1
P29,2,328.57,7,1
P29,3,86.37,1,2
P29,3,139.37,2,2
P29,3,197.33,3,2
P29,3,200.61,4,2
P29,3,252.49,5,2
P29,3,267.25,6,2
P29,3,313.93,7,2
P29,3,353.01,8,2
P29,3,425.33,9,2
P29,3,425.73,10,2
P29,4,28.01,1,2
P29,4,86.73,2,2
P29,4,149.13,3,2
P29,4,149.33,4,2
P29,4,229.85,4,2
P29,4,313.85,5,2
P29,4,425.73,6,2
P30,1,19.45,1,1
P30,1,26.73,2,1
P30,1,38.61,3,1
P30,1,69.29,4,1
P30,1,106.77,5,1
P30,1,116.93,6,1
P30,1,127.01,7,1
P30,1,178.77,8,1
P30,1,186.65,9,1
P30,1,193.97,10,1
P30,1,221.53,11,1
P30,1,243.37,12,1
P30,1,246.25,13,1
P30,1,281.13,14,1
P30,1,300.25,15,1
P30,1,320.73,16,1
P30,1,329.49,17,1
P30,2,27.37,1,1
P30,2,107.05,2,1
P30,2,127.09,3,1
P30,2,180.57,4,1
P30,2,246.45,5,1
P30,2,280.73,6,1
P30,2,325.09,7,1
P30,3,27.01,1,2
P30,3,39.25,2,2
P30,3,86.69,3,2
P30,3,113.41,4,2
P30,3,138.57,5,2
P30,3,206.81,6,2
P30,3,237.13,7,2
P30,3,268.21,8,2
P30,3,314.17,9,2
P30,3,425.73,10,2
P30,4,37.33,1,2
P30,4,87.81,2,2
P30,4,118.81,3,2
P30,4,201.49,4,2
P30,4,314.01,5,2
P30,4,354.33,6,2
P31,1,39.13,1,NA
P31,1,39.77,2,NA
P31,3,27.05,1,NA
P31,3,52.25,2,NA
P31,4,7.25,1,2
P31,4,13.69,2,2
P31,4,26.45,3,2
P31,6,20.61,1,NA
P31,6,45.69,2,NA
P31,7,7.25,1,NA
P31,7,51.73,2,NA
P31,7,52.33,3,NA
P31,8,10.61,1,NA
P31,8,26.05,2,NA
P31,8,36.81,3,NA
P31,8,68.17,4,NA
P31,9,13.89,1,1
P31,9,28.25,2,1
P31,9,46.37,3,1
P31,9,49.81,4,1
P31,11,25.89,1,2
P31,11,26.49,2,2
P31,12,28.57,1,NA
P31,12,58.53,2,NA
P31,13,26.05,1,NA
P31,13,37.49,2,NA
P31,13,68.21,3,NA
P31,14,3.65,1,2
P31,14,14.17,2,2
P31,14,26.45,3,2
P31,15,8.33,1,NA
P31,15,32.01,2,NA
P31,15,46.25,3,NA
P31,16,25.77,1,NA
P31,16,32.69,2,NA
P31,16,52.17,3,NA
P31,17,19.37,1,NA
P31,17,45.25,2,NA
P31,17,53.81,3,NA
P31,17,58.73,4,NA
P31,18,26.57,1,NA
P31,18,44.89,2,NA
P31,18,46.13,3,NA
P31,19,5.57,1,1
P31,19,32.69,2,1
P31,19,42.93,3,1
P31,19,45.37,4,1
P31,20,6.85,1,NA
P31,20,20.33,2,NA
P31,20,32.09,3,NA
P31,20,42.33,4,NA
P31,20,45.81,5,NA
P31,21,3.97,1,NA
P31,21,12.73,2,NA
P31,21,19.25,3,NA
P31,21,25.73,4,NA
P31,21,27.25,5,NA
P31,22,13.29,1,NA
P31,22,18.89,2,NA
P31,22,31.25,3,NA
P31,22,44.01,4,NA
P31,22,46.13,5,NA
P31,23,13.61,1,NA
P31,23,26.01,2,NA
P31,23,40.49,3,NA
P31,23,47.85,4,NA
P31,23,57.93,5,NA
P31,23,63.49,6,NA
P31,23,68.21,7,NA
P31,24,5.29,1,NA
P31,24,16.77,2,NA
P31,24,25.85,3,NA
P31,24,45.85,4,NA
P31,25,18.37,1,NA
P31,25,39.29,2,NA
P31,25,58.77,3,NA
P31,26,6.29,1,NA
P31,26,38.61,2,NA
P31,26,51.25,3,NA
P31,26,52.17,4,NA
P31,27,6.17,1,NA
P31,27,33.05,2,NA
P31,27,52.17,3,NA
P31,28,12.53,1,NA
P31,28,24.77,2,NA
P31,28,34.45,3,NA
P31,28,47.25,4,NA
P31,28,52.29,5,NA
P31,29,5.25,1,NA
P31,29,27.17,2,NA
P31,30,6.13,1,NA
P31,30,25.81,2,NA
P31,30,32.45,3,NA
P31,30,39.81,4,NA
P31,1,2.81,1,1
P31,1,7.33,2,1
P31,1,9.77,3,1
P31,1,14.89,4,1
P31,1,21.01,5,1
P31,1,37.21,6,1
P31,1,43.41,7,1
P31,1,51.29,8,1
P31,1,67.73,9,1
P31,1,75.65,10,1
P31,1,85.65,11,1
P31,1,92.73,12,1
P31,1,103.53,13,1
P31,1,113.77,14,1
P31,1,126.53,15,1
P31,1,142.21,16,1
P31,1,156.85,17,1
P31,1,178.17,18,1
P31,1,185.57,19,1
P31,1,193.37,20,1
P31,1,209.81,21,1
P31,1,219.89,22,1
P31,1,245.49,23,1
P31,1,263.21,24,1
P31,1,274.29,25,1
P31,1,298.33,26,1
P31,1,318.45,27,1
P31,1,329.49,28,1
P31,2,6.77,1,1
P31,2,26.73,2,1
P31,2,68.85,3,1
P31,2,121.69,4,1
P31,2,128.09,5,1
P31,2,178.61,6,1
P31,2,193.65,7,1
P31,2,219.97,8,1
P31,2,246.05,9,1
P31,2,281.05,10,1
P31,2,318.93,11,1
P31,2,322.93,11,1
P31,3,27.89,1,2
P31,3,87.41,2,2
P31,3,138.65,3,2
P31,3,196.61,4,2
P31,3,235.77,5,2
P31,3,268.33,6,2
P31,3,291.57,7,2
P31,3,315.01,8,2
P31,3,353.33,9,2
P31,3,389.33,10,2
P31,3,422.01,11,2
P31,3,425.73,12,2
P31,4,26.69,1,2
P31,4,70.41,2,2
P31,4,86.65,3,2
P31,4,118.73,4,2
P31,4,196.33,5,2
P31,4,235.69,6,2
P31,4,284.41,7,2
P31,4,314.29,8,2
P31,4,389.21,9,2
P31,4,421.49,9,2
P32,1,26.97,1,1
P32,1,51.49,2,1
P32,1,58.25,3,1
P32,1,66.69,4,1
P32,1,75.25,5,1
P32,1,85.49,6,1
P32,1,98.21,7,1
P32,1,106.65,8,1
P32,1,116.33,9,1
P32,1,121.41,10,1
P32,1,126.57,11,1
P32,1,138.69,12,1
P32,1,150.17,13,1
P32,1,156.73,14,1
P32,1,166.17,15,1
P32,1,173.53,16,1
P32,1,185.21,17,1
P32,1,192.29,18,1
P32,1,200.69,19,1
P32,1,205.97,20,1
P32,1,219.65,21,1
P32,1,227.49,22,1
P32,1,236.89,23,1
P32,1,245.49,24,1
P32,1,254.73,25,1
P32,1,264.89,26,1
P32,1,274.17,27,1
P32,1,280.49,28,1
P32,1,291.57,29,1
P32,1,297.69,30,1
P32,1,312.05,31,1
P32,1,320.17,32,1
P32,1,329.49,33,1
P32,2,27.33,1,1
P32,2,51.41,2,1
P32,2,62.09,3,1
P32,2,70.33,4,1
P32,2,85.85,5,1
P32,2,101.05,6,1
P32,2,122.29,7,1
P32,2,129.21,8,1
P32,2,143.69,9,1
P32,2,157.21,10,1
P32,2,173.69,11,1
P32,2,185.09,12,1
P32,2,193.33,13,1
P32,2,219.69,14,1
P32,2,229.25,15,1
P32,2,241.65,16,1
P32,2,247.65,17,1
P32,2,257.89,18,1
P32,2,268.77,19,1
P32,2,281.33,20,1
P32,2,298.29,21,1
P32,2,312.09,22,1
P32,2,324.69,23,1
P32,3,25.97,1,2
P32,3,36.97,2,2
P32,3,67.17,3,2
P32,3,83.05,4,2
P32,3,86.41,5,2
P32,3,110.45,6,2
P32,3,118.37,7,2
P32,3,126.37,8,2
P32,3,132.05,9,2
P32,3,138.57,10,2
P32,3,158.05,11,2
P32,3,174.57,12,2
P32,3,188.33,13,2
P32,3,196.73,14,2
P32,3,222.61,15,2
P32,3,236.49,16,2
P32,3,248.01,17,2
P32,3,252.17,18,2
P32,3,266.89,19,2
P32,3,283.37,20,2
P32,3,292.61,21,2
P32,3,312.85,22,2
P32,3,324.65,23,2
P32,3,345.89,24,2
P32,3,353.49,25,2
P32,3,383.45,26,2
P32,3,387.77,27,2
P32,3,410.65,28,2
P32,3,421.61,29,2
P32,3,425.73,30,2
P32,4,26.25,1,2
P32,4,37.85,2,2
P32,4,67.45,2,2
P32,4,86.09,3,2
P32,4,105.21,4,2
P32,4,110.77,5,2
P32,4,118.85,6,2
P32,4,131.05,7,2
P32,4,138.33,8,2
P32,4,151.77,9,2
P32,4,157.89,9,2
P32,4,174.57,10,2
P32,4,187.53,11,2
P32,4,196.69,12,2
P32,4,235.77,13,2
P32,4,249.45,14,2
P32,4,253.65,15,2
P32,4,266.89,16,2
P32,4,278.17,17,2
P32,4,284.29,18,2
P32,4,292.09,19,2
P32,4,312.93,20,2
P32,4,343.89,21,2
P32,4,352.97,22,2
P32,4,388.37,23,2
P32,4,408.41,24,2
P32,4,421.69,25,2
P33,1,6.61,1,1
P33,1,19.93,2,1
P33,1,39.37,3,1
P33,1,60.37,4,1
P33,1,71.81,5,1
P33,1,98.93,6,1
P33,1,127.65,7,1
P33,1,167.73,8,1
P33,1,185.45,9,1
P33,1,202.53,10,1
P33,1,228.05,11,1
P33,1,237.61,12,1
P33,1,257.09,13,1
P33,1,281.25,14,1
P33,1,300.21,15,1
P33,1,323.53,16,1
P33,1,329.49,17,1
P33,2,4.73,1,1
P33,2,37.33,2,1
P33,2,127.61,3,1
P33,2,195.25,4,1
P33,2,202.89,5,1
P33,2,248.13,6,1
P33,2,282.85,7,1
P33,2,320.53,8,1
P33,3,2.81,1,2
P33,3,26.37,2,2
P33,3,39.53,3,2
P33,3,68.33,4,2
P33,3,86.73,5,2
P33,3,93.97,6,2
P33,3,117.53,7,2
P33,3,200.49,8,2
P33,3,206.89,9,2
P33,3,266.97,10,2
P33,3,292.97,11,2
P33,3,313.29,12,2
P33,3,316.85,13,2
P33,3,354.89,14,2
P33,3,422.77,15,2
P33,3,425.73,16,2
P33,4,1.45,1,2
P33,4,28.73,2,2
P33,4,30.01,3,2
P33,4,95.33,4,2
P33,4,118.41,5,2
P33,4,200.77,6,2
P33,4,264.97,7,2
P33,4,267.21,7,2
P33,4,313.21,7,2
P33,4,352.85,8,2
P33,4,424.57,9,2
P34,1,6.45,1,1
P34,1,12.61,2,1
P34,1,19.69,3,1
P34,1,37.93,4,1
P34,1,50.37,5,1
P34,1,59.97,6,1
P34,1,69.41,7,1
P34,1,104.29,8,1
P34,1,121.73,9,1
P34,1,126.61,10,1
P34,1,157.61,11,1
P34,1,178.41,12,1
P34,1,185.49,13,1
P34,1,209.41,14,1
P34,1,245.85,15,1
P34,1,257.77,16,1
P34,1,280.77,17,1
P34,1,298.73,18,1
P34,1,312.81,19,1
P34,1,320.45,20,1
P34,1,323.61,21,1
P34,1,329.49,22,1
P34,2,37.57,1,1
P34,2,69.41,2,1
P34,2,121.61,3,1
P34,2,127.13,4,1
P34,2,185.33,5,1
P34,2,245.89,6,1
P34,2,280.81,7,1
P34,2,300.09,8,1
P34,2,323.77,9,1
P34,3,26.53,1,2
P34,3,38.29,2,2
P34,3,86.01,3,2
P34,3,126.05,4,2
P34,3,131.49,5,2
P34,3,186.21,6,2
P34,3,201.73,7,2
P34,3,267.29,8,2
P34,3,285.85,9,2
P34,3,313.73,10,2
P34,3,380.25,11,2
P34,3,425.73,12,2
P34,4,47.73,1,2
P34,4,86.85,2,2
P34,4,187.65,3,2
P34,4,206.65,4,2
P34,4,313.61,5,2
P34,4,392.21,6,2
P35,1,12.73,1,1
P35,1,26.85,2,1
P35,1,38.57,3,1
P35,1,57.81,4,1
P35,1,66.93,5,1
P35,1,69.93,6,1
P35,1,91.89,7,1
P35,1,106.41,8,1
P35,1,121.37,9,1
P35,1,126.81,10,1
P35,1,156.81,11,1
P35,1,173.17,12,1
P35,1,185.29,13,1
P35,1,193.29,14,1
P35,1,202.41,15,1
P35,1,220.25,16,1
P35,1,230.41,17,1
P35,1,240.29,18,1
P35,1,245.93,19,1
P35,1,263.25,20,1
P35,1,280.69,21,1
P35,1,298.01,22,1
P35,1,318.49,23,1
P35,1,320.65,24,1
P35,1,328.61,25,1
P35,1,329.49,26,1
P35,2,18.85,1,1
P35,2,27.21,2,1
P35,2,37.49,3,1
P35,2,57.69,4,1
P35,2,66.69,5,1
P35,2,69.29,6,1
P35,2,85.45,7,1
P35,2,91.97,8,1
P35,2,103.05,8,1
P35,2,119.81,9,1
P35,2,126.77,10,1
P35,2,156.69,11,1
P35,2,185.21,12,1
P35,2,192.93,13,1
P35,2,209.49,14,1
P35,2,240.29,15,1
P35,2,245.81,16,1
P35,2,254.77,17,1
P35,2,266.85,18,1
P35,2,274.13,19,1
P35,2,280.33,20,1
P35,2,297.73,21,1
P35,2,312.05,22,1
P35,2,318.45,23,1
P35,2,320.41,23,1
P35,3,5.93,1,2
P35,3,20.77,2,2
P35,3,26.81,3,2
P35,3,37.41,4,2
P35,3,46.33,5,2
P35,3,67.17,6,2
P35,3,83.09,7,2
P35,3,93.01,8,2
P35,3,107.85,9,2
P35,3,117.69,10,2
P35,3,130.77,11,2
P35,3,147.97,12,2
P35,3,158.29,13,2
P35,3,169.13,14,2
P35,3,183.53,15,2
P35,3,185.77,16,2
P35,3,197.45,17,2
P35,3,222.93,18,2
P35,3,243.09,19,2
P35,3,247.45,20,2
P35,3,266.97,21,2
P35,3,287.73,22,2
P35,3,291.65,23,2
P35,3,312.93,24,2
P35,3,334.05,25,2
P35,3,352.81,26,2
P35,3,379.37,27,2
P35,3,388.01,28,2
P35,3,422.05,29,2
P35,3,425.73,30,2
P35,4,20.73,1,2
P35,4,26.05,2,2
P35,4,38.25,3,2
P35,4,47.01,4,2
P35,4,72.29,5,2
P35,4,83.01,6,2
P35,4,84.09,6,2
P35,4,93.05,7,2
P35,4,109.97,8,2
P35,4,117.73,9,2
P35,4,130.45,10,2
P35,4,138.33,11,2
P35,4,158.01,12,2
P35,4,169.81,13,2
P35,4,183.53,14,2
P35,4,185.97,15,2
P35,4,197.49,16,2
P35,4,206.69,17,2
P35,4,247.37,18,2
P35,4,251.85,18,2
P35,4,266.89,19,2
P35,4,283.41,20,2
P35,4,291.53,21,2
P35,4,312.65,22,2
P35,4,345.21,23,2
P35,4,352.89,24,2
P35,4,378.93,25,2
P35,4,388.89,26,2
P35,4,414.89,27,2
P35,4,421.93,28,2
P36,1,6.45,1,1
P36,1,26.33,2,1
P36,1,44.09,3,1
P36,1,51.65,4,1
P36,1,66.93,5,1
P36,1,115.49,6,1
P36,1,127.53,7,1
P36,1,186.05,8,1
P36,1,223.13,9,1
P36,1,246.69,10,1
P36,1,274.65,11,1
P36,1,281.29,12,1
P36,1,298.93,13,1
P36,1,323.01,14,1
P36,1,329.49,15,1
P36,2,7.17,1,1
P36,2,26.85,2,1
P36,2,38.73,3,1
P36,2,66.65,4,1
P36,2,73.09,5,1
P36,2,113.97,6,1
P36,2,127.81,7,1
P36,2,221.85,8,1
P36,2,243.17,9,1
P36,2,281.25,10,1
P36,2,319.09,11,1
P36,2,328.17,12,1
P36,3,39.45,1,2
P36,3,69.01,2,2
P36,3,87.33,3,2
P36,3,139.45,4,2
P36,3,200.21,5,2
P36,3,267.29,6,2
P36,3,313.13,7,2
P36,3,353.97,8,2
P36,3,425.73,9,2
P36,4,28.77,1,2
P36,4,40.65,2,2
P36,4,131.93,3,2
P36,4,203.13,4,2
P36,4,270.37,5,2
P36,4,353.97,6,2
P37,1,2.65,1,1
P37,1,7.17,2,1
P37,1,12.81,3,1
P37,1,28.53,4,1
P37,1,38.61,5,1
P37,1,69.45,6,1
P37,1,122.01,7,1
P37,1,126.81,8,1
P37,1,247.81,9,1
P37,1,298.09,10,1
P37,1,319.73,11,1
P37,1,329.49,12,1
P37,2,2.29,1,1
P37,2,6.45,2,1
P37,2,15.57,3,1
P37,2,37.81,4,1
P37,2,70.13,5,1
P37,2,126.65,6,1
P37,2,186.81,7,1
P37,2,193.13,7,1
P37,2,237.77,8,1
P37,2,246.89,9,1
P37,2,298.57,10,1
P37,3,39.25,1,2
P37,3,86.17,2,2
P37,3,113.81,3,2
P37,3,187.13,4,2
P37,3,199.73,5,2
P37,3,291.81,6,2
P37,3,315.17,7,2
P37,3,425.13,8,2
P37,3,425.73,9,2
P37,4,28.17,1,2
P37,4,39.17,2,2
P37,4,89.53,3,2
P37,4,200.89,4,2
P37,4,313.53,5,2
P37,4,424.65,6,2
P38,1,3.25,1,1
P38,1,6.61,2,1
P38,1,9.81,3,1
P38,1,21.09,4,1
P38,1,29.41,5,1
P38,1,39.01,6,1
P38,1,58.69,7,1
P38,1,67.29,8,1
P38,1,75.93,9,1
P38,1,106.53,10,1
P38,1,114.37,11,1
P38,1,118.89,12,1
P38,1,120.29,13,1
P38,1,128.41,14,1
P38,1,142.45,15,1
P38,1,161.89,16,1
P38,1,183.53,17,1
P38,1,185.73,18,1
P38,1,193.77,19,1
P38,1,219.85,20,1
P38,1,228.33,21,1
P38,1,240.53,22,1
P38,1,249.05,23,1
P38,1,268.21,24,1
P38,1,274.89,25,1
P38,1,284.93,26,1
P38,1,298.93,27,1
P38,1,313.13,28,1
P38,1,329.49,29,1
P38,2,6.25,1,1
P38,2,27.41,2,1
P38,2,39.29,3,1
P38,2,67.77,4,1
P38,2,92.01,5,1
P38,2,107.01,6,1
P38,2,114.61,7,1
P38,2,127.89,8,1
P38,2,157.61,9,1
P38,2,185.13,10,1
P38,2,221.53,11,1
P38,2,228.61,12,1
P38,2,248.05,13,1
P38,2,268.09,14,1
P38,2,298.97,15,1
P38,3,26.13,1,2
P38,3,38.17,2,2
P38,3,48.45,3,2
P38,3,62.21,4,2
P38,3,68.01,5,2
P38,3,86.53,6,2
P38,3,94.97,7,2
P38,3,116.25,8,2
P38,3,132.29,9,2
P38,3,151.45,10,2
P38,3,198.05,11,2
P38,3,222.53,12,2
P38,3,235.01,13,2
P38,3,253.69,14,2
P38,3,268.25,15,2
P38,3,303.01,16,2
P38,3,315.53,17,2
P38,3,368.25,18,2
P38,3,422.25,19,2
P38,3,425.73,20,2
P38,4,26.37,1,2
P38,4,40.17,2,2
P38,4,68.49,3,2
P38,4,86.57,4,2
P38,4,120.85,5,2
P38,4,160.33,6,2
P38,4,206.85,7,2
P38,4,294.13,8,2
P38,4,353.21,9,2
P38,4,423.29,10,2
P39,1,38.29,1,1
P39,1,88.89,2,1
P39,1,127.29,3,1
P39,1,228.93,4,1
P39,1,257.97,5,1
P39,1,303.01,6,1
P39,1,326.57,7,1
P39,1,329.49,8,1
P39,2,43.69,1,1
P39,2,89.81,2,1
P39,2,126.97,3,1
P39,2,230.01,4,1
P39,2,299.81,5,1
P39,2,326.69,6,1
P39,3,45.45,1,2
P39,3,87.93,2,2
P39,3,116.97,3,2
P39,3,198.37,4,2
P39,3,263.21,5,2
P39,3,314.21,6,2
P39,3,417.05,7,2
P39,3,425.73,8,2
P39,4,28.77,1,2
P39,4,86.45,2,2
P39,4,202.05,3,2
P39,4,313.97,4,2
P40,1,3.53,1,1
P40,1,11.85,2,1
P40,1,13.49,3,1
P40,1,135.05,4,1
P40,1,284.05,5,1
P40,1,329.49,6,1
P40,2,4.85,1,1
P40,2,12.73,2,1
P40,2,26.29,3,1
P40,2,41.97,4,1
P40,2,138.93,5,1
P40,2,255.13,6,1
P40,2,310.97,6,1
P40,3,36.97,1,2
P40,3,92.49,2,2
P40,3,110.05,3,2
P40,3,137.73,4,2
P40,3,157.41,5,2
P40,3,200.29,6,2
P40,3,315.93,7,2
P40,3,425.73,8,2
P40,4,49.73,1,2
P40,4,67.81,2,2
P40,4,279.69,3,2
P40,4,329.09,4,2
P40,4,423.49,5,2
P41,1,2.61,1,1
P41,1,6.53,2,1
P41,1,8.53,3,1
P41,1,12.73,4,1
P41,1,14.77,5,1
P41,1,19.17,6,1
P41,1,27.73,7,1
P41,1,38.61,8,1
P41,1,41.13,9,1
P41,1,42.81,10,1
P41,1,46.37,11,1
P41,1,50.37,12,1
P41,1,54.85,13,1
P41,1,58.25,14,1
P41,1,63.81,15,1
P41,1,67.45,16,1
P41,1,70.85,17,1
P41,1,76.41,18,1
P41,1,79.65,19,1
P41,1,91.73,20,1
P41,1,103.69,21,1
P41,1,106.41,22,1
P41,1,112.89,23,1
P41,1,119.85,24,1
P41,1,127.81,25,1
