p_id,time_ended,stimulus,marker,count,difficulty,liking,GMS.general,gender,age,pilot,complete,time_started,num_restarts,language,GMS.active_engagement,GMS.musical_training,GMS.emotions,GMS.perceptual_abilities,GMS.singing_abilities,GMS.instrument,GMS.start_age,GMS.absolute_pitch,d,m
06ea4d30ab765e6e942408059e8a61368ea274e69637757b86bd6cdc826625a1,2021-05-21 10:20:22,part2_02.wav,2.588,9,4,2,4.94444444444444,male,27.5,FALSE,TRUE,2021-05-21 09:25:23,0,de,NA,NA,NA,NA,NA,NA,NA,NA,13.48675,110.482
06ea4d30ab765e6e942408059e8a61368ea274e69637757b86bd6cdc826625a1,2021-05-21 10:20:22,part2_02.wav,4.258,9,4,2,4.94444444444444,male,27.5,FALSE,TRUE,2021-05-21 09:25:23,0,de,NA,NA,NA,NA,NA,NA,NA,NA,13.48675,110.482
06ea4d30ab765e6e942408059e8a61368ea274e69637757b86bd6cdc826625a1,2021-05-21 10:20:22,part2_02.wav,22.42,9,4,2,4.94444444444444,male,27.5,FALSE,TRUE,2021-05-21 09:25:23,0,de,NA,NA,NA,NA,NA,NA,NA,NA,13.48675,110.482
06ea4d30ab765e6e942408059e8a61368ea274e69637757b86bd6cdc826625a1,2021-05-21 10:20:22,part2_02.wav,9.687,9,4,2,4.94444444444444,male,27.5,FALSE,TRUE,2021-05-21 09:25:23,0,de,NA,NA,NA,NA,NA,NA,NA,NA,13.48675,110.482
06ea4d30ab765e6e942408059e8a61368ea274e69637757b86bd6cdc826625a1,2021-05-21 10:20:22,part2_02.wav,28.588,9,4,2,4.94444444444444,male,27.5,FALSE,TRUE,2021-05-21 09:25:23,0,de,NA,NA,NA,NA,NA,NA,NA,NA,13.48675,110.482
06ea4d30ab765e6e942408059e8a61368ea274e69637757b86bd6cdc826625a1,2021-05-21 10:20:22,part2_02.wav,18.528,9,4,2,4.94444444444444,male,27.5,FALSE,TRUE,2021-05-21 09:25:23,0,de,NA,NA,NA,NA,NA,NA,NA,NA,13.48675,110.482
06ea4d30ab765e6e942408059e8a61368ea274e69637757b86bd6cdc826625a1,2021-05-21 10:20:22,part2_02.wav,44.884,9,4,2,4.94444444444444,male,27.5,FALSE,TRUE,2021-05-21 09:25:23,0,de,NA,NA,NA,NA,NA,NA,NA,NA,13.48675,110.482
06ea4d30ab765e6e942408059e8a61368ea274e69637757b86bd6cdc826625a1,2021-05-21 10:20:22,part2_02.wav,75.412,9,4,2,4.94444444444444,male,27.5,FALSE,TRUE,2021-05-21 09:25:23,0,de,NA,NA,NA,NA,NA,NA,NA,NA,13.48675,110.482
06ea4d30ab765e6e942408059e8a61368ea274e69637757b86bd6cdc826625a1,2021-05-21 10:20:22,part2_02.wav,110.482,9,4,2,4.94444444444444,male,27.5,FALSE,TRUE,2021-05-21 09:25:23,0,de,NA,NA,NA,NA,NA,NA,NA,NA,13.48675,110.482
db6f54c592547b8f5bfd596eb6a8890fa35b0ac78ef9205037c6743c2fc72661,2021-05-21 12:36:37,part2_02.wav,98.483,16,5,6,2.77777777777778,female,61.1666666666667,FALSE,TRUE,2021-05-21 10:30:09,0,de,NA,NA,NA,NA,NA,NA,NA,NA,21.6250666666667,422.859
